[2026-06-08 15:12:55,634] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:12:55,635] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:12:58,533] [CEmergencyDetector] Emergency VLM model loaded.
[2026-06-08 15:12:58,533] [CEmergencyManager] EmergencyManager initialized.
[2026-06-08 15:12:58,534] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_READY
[2026-06-08 15:13:01,337] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:13:01,339] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:13:07,375] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:13:07,376] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:13:08,482] [CControlCore] STATUS | source=MPCamera | status=CAMERA_STOPPED
[2026-06-08 15:13:08,482] [CEmergencyManager] Emergency state reset.
[2026-06-08 15:13:08,482] [CControlCore] STATUS | source=MPTTS | status=TTS_STOPPED
[2026-06-08 15:13:08,483] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_STOPPED
[2026-06-08 15:13:08,483] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_STOPPED
[2026-06-08 15:13:08,486] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_STOPPED
[2026-06-08 15:13:08,683] MPCamera process routine terminated.
[2026-06-08 15:13:08,684] [CControlCore] STATUS | source=MPCamera | status=CAMERA_PROCESS_TERMINATED
[2026-06-08 15:13:08,782] [CMultiProcessBase] Process released: MPCamera
[2026-06-08 15:13:08,901] [CMultiProcessBase] Process released: MPSTT
[2026-06-08 15:13:08,904] MPTextToSpeech process routine terminated.
[2026-06-08 15:13:08,904] [CControlCore] STATUS | source=MPTTS | status=TTS_PROCESS_TERMINATED
[2026-06-08 15:13:09,002] [CMultiProcessBase] Process released: MPTTS
[2026-06-08 15:13:09,151] [CMultiProcessBase] Process released: MPLLM
[2026-06-08 15:13:09,152] [CEmergencyManager] Emergency state reset.
[2026-06-08 15:13:09,152] MPEmergency process routine terminated.
[2026-06-08 15:13:09,153] [CControlCore] STATUS | source=MPEmergency | status=EMERGENCY_PROCESS_TERMINATED
[2026-06-08 15:13:09,252] [CMultiProcessBase] Process released: MPEmergency
